,base,cloudiness,cod,latitude,longitude,dt,id,main.grnd_level,humidity,main.pressure,main.sea_level,temperature,main.temp_max,main.temp_min,message,name,rain.1h,rain.3h,sys.country,sys.id,sys.message,sys.sunrise,sys.sunset,sys.type,timezone,visibility,weather,wind.deg,wind.gust,windspeed
76,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,
77,stations,4.0,200,46.45,135.83,1562640135.0,2013279.0,962.63,71.0,1010.5,1010.5,300.323,300.323,300.323,,Vostok,,1.625,RU,,0.0067,1562613167.0,1562669423.0,,36000.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",260.962,,0.91
78,stations,55.0,200,48.03,28.7,1562640135.0,618453.0,,86.0,1010.0,,283.15,283.15,283.15,,Kamenka,,,MD,2012853.0,0.0058,1562638498.0,1562695520.0,3.0,10800.0,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",271.756,,1.86
79,stations,0.0,200,43.26,-79.87,1562640006.0,5969785.0,,79.0,1017.0,,291.23,292.59,289.82,,Hamilton,,,CA,2010676.0,0.0083,1562579236.0,1562634083.0,3.0,-14400.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01n'}]",20.882,,1.38
80,stations,99.0,200,71.64,128.87,1562640136.0,2015306.0,990.25,77.0,1001.64,1001.64,287.923,287.923,287.923,,Tiksi,,0.312,RU,,0.0086,0.0,0.0,,32400.0,,"[{'id': 500, 'main': 'Rain', 'description': 'light rain', 'icon': '10d'}]",330.858,,2.3
81,stations,80.0,200,4.42,-7.36,1562640136.0,2281120.0,1012.04,91.0,1015.09,1015.09,295.293,295.293,295.293,,Tabou,,,CI,,0.0078,1562653410.0,1562697918.0,,0.0,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",242.142,,1.53
82,stations,75.0,200,17.65,83.27,1562640136.0,1252783.0,,79.0,1003.0,,302.15,302.15,302.15,,Yarada,,,IN,9255.0,0.0087,1562630272.0,1562677549.0,1.0,19800.0,6000.0,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04d'}]",250.0,,3.1
83,stations,100.0,200,60.91,-46.05,1562640136.0,3421719.0,,23.0,1011.0,,289.15,289.15,289.15,,Narsaq,,,GL,47.0,0.0089,1562651218.0,1562718683.0,1.0,-7200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",70.0,,9.8
84,,,404,,,,,,,,,,,,city not found,,,,,,,,,,,,,,,
85,stations,100.0,200,70.47,-68.59,1562640137.0,5924351.0,987.46,48.0,1019.92,1019.92,285.333,285.333,285.333,,Clyde River,,,CA,,0.0054,0.0,0.0,,-14400.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",183.114,,2.93
86,stations,90.0,200,16.86,-99.88,1562640137.0,3533462.0,,83.0,1013.0,,302.15,302.15,302.15,,Acapulco,,,MX,7103.0,0.0091,1562587906.0,1562635018.0,1.0,-18000.0,9656.0,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04n'}]",190.0,,1.5
87,stations,9.0,200,46.68,113.28,1562640137.0,2032614.0,885.69,41.0,1007.73,1007.73,297.493,297.493,297.493,,Baruun-Urt,,,MN,,0.0063,1562618526.0,1562674889.0,,28800.0,,"[{'id': 800, 'main': 'Clear', 'description': 'clear sky', 'icon': '01d'}]",83.169,,3.51
88,stations,89.0,200,77.48,-69.36,1562640138.0,3831208.0,981.69,86.0,1020.23,1020.23,277.033,277.033,277.033,,Qaanaaq,,,GL,,0.0085,0.0,0.0,,-10800.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",256.627,,1.61
89,stations,100.0,200,73.51,80.55,1562640138.0,1507390.0,1003.51,96.0,1003.97,1003.97,273.133,273.133,273.133,,Dikson,,,RU,,0.0081,0.0,0.0,,25200.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",7.589,,5.69
90,stations,92.0,200,-33.64,115.35,1562640138.0,2075265.0,,62.0,1017.0,,288.38,289.82,287.04,,Busselton,,0.062,AU,2011706.0,0.0068,1562628168.0,1562664253.0,3.0,28800.0,,"[{'id': 804, 'main': 'Clouds', 'description': 'overcast clouds', 'icon': '04d'}]",253.378,,7.6
91,stations,67.0,200,10.38,-9.3,1562640138.0,2419992.0,966.26,94.0,1014.51,1014.51,294.733,294.733,294.733,,Kankan,,,GN,,0.0072,1562653271.0,1562698988.0,,0.0,,"[{'id': 803, 'main': 'Clouds', 'description': 'broken clouds', 'icon': '04n'}]",229.164,,3.37
